Name,Type,Agility,Endurance,Service,Volley,Forehand,Backhand,Cost,Level
BASIC_RACKET_1,RACKET,0,0,0,0,3,0,0,1
EAGLE_1,RACKET,2,0,0,0,3,0,0,1
EAGLE_2,RACKET,3,0,0,0,4,0,0,2
EAGLE_3,RACKET,3,0,0,0,6,0,600,3
EAGLE_4,RACKET,3,0,0,0,9,0,1400,4
EAGLE_5,RACKET,3,0,0,0,14,0,2500,5
EAGLE_6,RACKET,3,0,0,0,19,0,4600,6
EAGLE_7,RACKET,3,0,0,0,23,0,7200,7
EAGLE_8,RACKET,3,0,0,0,26,0,10900,8
EAGLE_9,RACKET,4,0,0,0,29,0,15000,9
EAGLE_10,RACKET,4,0,0,0,31,0,21700,10
EAGLE_11,RACKET,4,0,0,0,34,0,27500,11
PATRIOT_4,RACKET,0,0,0,0,11,6,0,4
PATRIOT_5,RACKET,0,0,0,0,17,7,4600,5
PATRIOT_6,RACKET,0,0,0,0,19,6,7200,6
PATRIOT_7,RACKET,0,0,0,0,26,7,10900,7
PATRIOT_8,RACKET,0,0,0,0,29,8,15000,8
PATRIOT_9,RACKET,0,0,0,0,32,8,21700,9
PATRIOT_10,RACKET,0,0,0,0,35,8,27500,10
PATRIOT_11,RACKET,0,0,0,0,37,9,35900,11
OUTBACK_4,RACKET,0,0,0,0,5,8,0,4
OUTBACK_5,RACKET,0,0,0,0,10,10,10900,5
OUTBACK_6,RACKET,0,0,0,0,14,10,15000,6
OUTBACK_7,RACKET,0,0,0,0,18,10,21700,7
OUTBACK_8,RACKET,0,0,0,0,20,11,27500,8
OUTBACK_9,RACKET,0,0,0,0,22,12,35900,9
OUTBACK_10,RACKET,0,0,0,0,24,13,0,10
OUTBACK_11,RACKET,0,0,0,0,27,14,0,11
PANTHER_3,RACKET,0,0,0,0,12,0,0,3
PANTHER_4,RACKET,0,0,0,0,16,0,15000,4
PANTHER_5,RACKET,0,0,0,0,20,0,21700,5
PANTHER_6,RACKET,0,0,0,0,22,0,27500,6
PANTHER_7,RACKET,0,0,0,0,26,0,35900,7
PANTHER_8,RACKET,0,0,0,0,32,0,45900,8
PANTHER_9,RACKET,0,0,0,0,35,0,58400,9
PANTHER_10,RACKET,0,0,0,0,38,0,75000,10
PANTHER_11,RACKET,0,0,0,0,42,0,104200,11
